date,signal_raw,signal_0_1,scored_at
2025-10-27,0.2524941252265969,0.8883715944830186,2025-12-03 20:01:36.753038
2025-10-28,0.25983597952346915,0.9022261985219069,2025-12-03 20:01:36.753038
2025-10-29,0.29544341155405396,0.9520445263275972,2025-12-03 20:01:36.753038
2025-10-30,0.2843473130991676,0.9393692603745278,2025-12-03 20:01:36.753038
2025-10-31,0.3019645912671517,0.9584427040104317,2025-12-03 20:01:36.753038
2025-11-03,0.24815797263574899,0.8795569585663024,2025-12-03 20:01:36.753038
2025-11-04,0.1544650202345103,0.5782606008532925,2025-12-03 20:01:36.753038
2025-11-05,0.09735979337785988,0.3456796829750348,2025-12-03 20:01:36.753038
2025-11-06,0.011457952337079913,0.09831093659369938,2025-12-03 20:01:36.753038
2025-11-07,0.06864823045379026,0.2432476272020379,2025-12-03 20:01:36.753038
2025-11-10,-0.009888461042959318,0.06508284436619653,2025-12-03 20:01:36.753038
2025-11-11,0.045930726364442995,0.1755701748564279,2025-12-03 20:01:36.753038
2025-11-12,0.08381676301944804,0.29529134002545177,2025-12-03 20:01:36.753038
2025-11-13,0.10052287124146045,0.3578977084887297,2025-12-03 20:01:36.753038
2025-11-14,0.06894394896695175,0.24421265525143454,2025-12-03 20:01:36.753038
2025-11-17,0.0429239024080012,0.1676031317329879,2025-12-03 20:01:36.753038
2025-11-18,0.11304902538272407,0.40761341530403106,2025-12-03 20:01:36.753038
2025-11-19,0.042870046874069506,0.16746258939484798,2025-12-03 20:01:36.753038
2025-11-20,0.24743726725203882,0.8780456416330265,2025-12-03 20:01:36.753038
2025-11-21,0.14023074104623637,0.5196475395263788,2025-12-03 20:01:36.753038
2025-11-24,0.0,0.07919435561653942,2025-12-03 20:01:36.753038
2025-11-25,-0.0061963914180436785,0.07010426132387707,2025-12-03 20:01:36.753038
2025-11-26,0.12475617403144817,0.4554835157326757,2025-12-03 20:01:36.753038
2025-11-28,0.254547202297275,0.8923801636380297,2025-12-03 20:01:36.753038
2025-12-01,0.2897208775202087,0.9458013164031898,2025-12-03 20:01:36.753038
2025-12-02,0.28837695919884393,0.9442456482469216,2025-12-03 20:01:36.753038
2025-12-03,0.2858179351739135,0.9411861887538263,2025-12-03 20:01:36.753038
